,,,,,,,
Flow of Financial Resources from Scheduled Commercial Banks to the Commercial Sector,,,,,,,
,,,,,,(Amounts in ` Crore),
Fortnight Ended,Non-food Bank Credit,Investments in Commercial Paper,Investments in shares,Investments in Bonds/Debentures,Total Non-SLR Investments,Adjusted Non-food Bank Credit, Y-o-Y Growth in (7) (%)
1,2,3,4,5,6 = (3 to 5),7 = (2 + 6),8
"Sep 27, 2019","9,711,225.3","93,828.7","83,826.5","543,412.0","721,067.3","10,432,292.6",8.5
"Sep 13, 2019","9,646,921.7","94,486.4","83,870.0","538,088.0","716,444.5","10,363,366.2",9.8
"Aug 30, 2019","9,617,761.4","95,878.8","83,847.1","539,545.4","719,271.3","10,337,032.7",9.7
"Aug 16, 2019","9,619,341.9","98,241.8","83,603.1","537,506.2","719,351.1","10,338,693.0",11.0
"Aug 2, 2019","9,666,254.6","96,892.4","83,606.3","541,910.7","722,409.3","10,388,663.9",11.4
"Jul 19, 2019","9,592,376.7","94,921.7","84,816.2","549,230.0","728,967.9","10,321,344.6",11.8
"Jul 5, 2019","9,626,665.6","92,114.1","86,773.7","547,319.4","726,207.2","10,352,872.8",11.8
"Jun 21, 2019","9,577,349.3","97,239.6","86,444.7","544,187.4","727,871.6","10,305,220.9",11.6
"Jun 7, 2019","9,574,299.8","87,263.3","86,574.3","548,389.8","722,227.4","10,296,527.1",11.7
"May 24, 2019","9,555,823.0","90,752.7","86,804.7","551,955.7","729,513.1","10,285,336.1",12.0
"May 10, 2019","9,563,057.6","97,940.9","86,582.5","558,170.9","742,694.2","10,305,751.8",12.5
"Apr 26, 2019","9,577,784.5","93,223.4","87,276.6","559,503.7","740,003.7","10,317,788.2",12.7
"Apr 12, 2019","9,608,856.3","91,270.8","87,357.9","564,652.2","743,280.9","10,352,137.2",13.9
"Mar 29, 2019","9,730,112.4","90,362.0","87,505.5","573,648.6","751,516.1","10,481,628.6",13.3
"Mar 15, 2019","9,503,567.8","97,630.5","88,565.0","558,178.1","744,373.6","10,247,941.4",14.8
"Mar 1, 2019","9,464,808.4","95,244.4","88,884.0","551,760.0","735,888.4","10,200,696.7",14.9
"Feb 15, 2019","9,378,625.9","96,474.5","89,861.4","512,223.7","698,559.5","10,077,185.4",14.7
"Feb 1, 2019","9,361,799.2","94,161.9","90,337.1","514,905.9","699,405.0","10,061,204.1",14.4
"Jan 18, 2019","9,261,606.5","95,517.1","88,959.6","513,559.0","698,035.7","9,959,642.2",14.5
"Jan 4, 2019","9,265,105.7","89,626.4","88,807.9","512,840.7","691,275.0","9,956,380.7",14.7
"Dec 21, 2018","9,210,294.6","94,824.3","90,491.5","481,855.5","667,171.3","9,877,465.9",15.1
"Dec 7, 2018","9,126,807.8","93,747.9","89,674.8","482,360.7","665,783.4","9,792,591.2",15.2
"Nov 23, 2018","9,060,338.5","107,691.0","91,019.7","479,091.2","677,801.9","9,738,140.4",15.6
"Nov 9, 2018","9,050,880.1","118,833.6","91,324.1","471,986.9","682,144.6","9,733,024.7",15.6
"Oct 26, 2018","8,978,941.2","119,631.1","90,633.3","471,166.9","681,431.3","9,660,372.5",15.3
"Oct 12, 2018","8,947,579.6","112,374.3","90,769.6","472,574.7","675,718.6","9,623,298.2",15.0
"Sep 28, 2018","8,934,001.0","120,333.3","90,919.7","472,044.4","683,297.5","9,617,298.5",13.4
"Sep 14, 2018","8,748,622.9","130,506.2","90,305.7","467,299.3","688,111.2","9,436,734.1",14.3
"Aug 31, 2018","8,731,898.8","128,771.2","90,155.7","471,397.6","690,324.4","9,422,223.3",14.4
"Aug 17, 2018","8,619,006.2","125,674.8","90,405.3","475,917.9","691,998.1","9,311,004.3",14.1
