CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_Germany,Geography_Spain,Gender_Male,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,actual,predicted,churn_probability,churn_risk
596,32,3,96709.07,2,0,0,41788.37,0,1,709,True,False,True,True,False,False,0,0,0.005633358892160049,Low Risk
623,43,1,0.0,2,1,1,146379.3,0,2,508,False,False,True,False,False,True,0,0,0.00020964769483942523,Low Risk
601,44,4,0.0,2,1,0,58561.31,0,1,281,False,True,False,True,False,False,0,0,0.01060361335351823,Low Risk
506,59,8,119152.1,2,1,1,170679.74,0,2,979,True,False,True,False,False,True,0,0,0.00019311346201036718,Low Risk
560,27,7,124995.98,1,1,1,114669.79,0,5,457,False,True,False,False,False,True,0,0,0.0005381202718526784,Low Risk
790,37,8,0.0,2,1,1,149418.41,0,4,348,False,True,True,True,False,False,0,0,7.784864122399216e-05,Low Risk
439,32,3,138901.61,1,1,0,75685.97,0,4,913,False,True,False,False,False,False,0,0,0.004325037020062417,Low Risk
597,22,6,101528.61,1,1,0,70529.0,1,2,793,True,False,False,False,False,True,1,1,0.999581480156071,High Risk
678,40,4,113794.22,1,1,0,16618.76,0,4,831,False,True,False,False,True,False,0,0,0.0041343047108928456,Low Risk
464,42,3,85679.25,1,1,1,164104.74,0,3,665,True,False,False,False,False,True,0,0,0.0036019515763721036,Low Risk
481,57,9,0.0,3,1,1,169719.35,1,3,259,False,False,False,False,False,True,1,1,0.9856959655350741,High Risk
651,56,4,0.0,1,0,0,84383.22,1,1,517,False,False,False,False,True,False,1,1,0.9997311369579628,High Risk
850,47,6,0.0,1,1,0,187391.02,1,3,282,False,False,True,False,False,False,1,1,0.9977171123845309,High Risk
687,41,2,154007.21,1,1,0,158408.23,0,5,410,True,False,False,False,False,True,0,0,0.030449007445512617,Low Risk
696,19,1,110928.51,1,1,1,2766.63,0,4,871,False,False,True,False,True,False,0,0,0.00010106970979606458,Low Risk
612,36,5,119799.27,2,1,0,159416.58,0,5,288,False,True,False,False,True,False,0,0,0.004011952334022128,Low Risk
586,57,3,0.0,2,0,1,6057.81,0,4,839,False,True,False,False,True,False,0,0,0.0006669112275665595,Low Risk
425,40,9,166776.6,2,0,1,172646.88,0,2,419,True,False,True,False,False,True,0,0,0.0006758027263161018,Low Risk
643,43,1,0.0,2,1,1,145764.4,0,5,307,False,True,True,True,False,False,0,0,0.00010842005611571367,Low Risk
641,37,2,0.0,2,1,0,3939.87,0,2,512,False,False,False,False,False,True,0,0,0.013920524482447079,Low Risk
795,40,2,101891.1,1,1,1,183044.86,0,4,461,False,False,False,True,False,False,0,0,0.0005800595868022988,Low Risk
762,35,9,0.0,2,1,1,43075.7,0,1,749,False,False,True,False,False,False,0,0,0.00014583052949833253,Low Risk
